Gene_id,logFC,padj
Parent=Transcript_C30E1.5.1,-3.6422,0.002218
Parent=Transcript_C30E1.8.1,-5.239,0.0091552
Parent=Transcript_C30F2.5.1,-1.547,0.0080522
Parent=Transcript_C30G12.11,-2.9712,0.00054722
Parent=Transcript_C30G12.2.1,-3.0814,0.027662
Parent=Transcript_C30G4.4s.5,-2.3557,0.0071296
Parent=Transcript_C30G7.1.1,-2.8168,3.88E-09
Parent=Transcript_C31A11.4.1,#NAME?,7.13E-06
Parent=Transcript_C31A11.5.1,-4.4174,0.032801
Parent=Transcript_C31B8.4.1,3.9787,7.94E-16
Parent=Transcript_C31B8.7.1,1.444,0.037878
Parent=Transcript_C31H2.4.1,-1.713,0.029597
Parent=Transcript_C31H5.4.1,-2.5067,2.40E-07
Parent=Transcript_C31H5.5.1,-1.4794,0.019964
Parent=Transcript_C31H5.7.1,2.2724,0.00026936
Parent=Transcript_C32B5.13.1,4.9416,0.011779
Parent=Transcript_C32D5.12.1,-1.8635,0.0019988
Parent=Transcript_C32E12.3.1,-2.4525,0.010004
Parent=Transcript_C32F10.4.1,-1.847,0.00035819
Parent=Transcript_C32H11.3.1,-3.4076,2.04E-07
Parent=Transcript_C32H11.4.1,-2.9592,0.010062
Parent=Transcript_C33A12.2.1,-2.0183,0.00025031
Parent=Transcript_C33F10.13.1,-2.2135,0.0016048
Parent=Transcript_C33G3.4.1,-3.0217,2.67E-09
Parent=Transcript_C33G8.10.1,-2.4965,4.80E-05
Parent=Transcript_C33G8.12.1,-2.1551,0.00086297
Parent=Transcript_C33G8.2.1,-2.854,1.76E-06
Parent=Transcript_C33G8.3.1,#NAME?,9.73E-07
Parent=Transcript_C33G8.4.1,-1.9632,0.00023929
Parent=Transcript_C33G8.6.1,-1.3418,0.028101
Parent=Transcript_C33G8.8.1,-2.5237,1.32E-05
Parent=Transcript_C33G8.9.1,-2.3198,3.19E-05
Parent=Transcript_C34B7.3.1,2.7987,3.74E-08
Parent=Transcript_C34C12.6.1,-1.7845,0.0043848
Parent=Transcript_C34D1.3.1,-2.028,0.00062968
Parent=Transcript_C34D4.11a.1,-2.4927,0.011626
Parent=Transcript_C34E11.1.1,-1.653,0.0017017
Parent=Transcript_C34F6.11.1,-2.3556,7.20E-06
Parent=Transcript_C34F6.3.1,-1.7,0.00087575
Parent=Transcript_C34H4.3a.1,-2.985,3.46E-07
Parent=Transcript_C35B1.7.1,-2.3664,0.0010968
Parent=Transcript_C35D10.14.1,3.2519,2.86E-11
Parent=Transcript_C35E7.12.1,2.4474,0.028916
Parent=Transcript_C36C5.5.1,-1.7048,0.03015
Parent=Transcript_C36C9.1.1,1.2419,0.046006
Parent=Transcript_C36E6.3.1,-2.0313,5.77E-05
Parent=Transcript_C36E6.5.1,-1.2544,0.031172
Parent=Transcript_C36H8.3.1,-1.8624,0.0046322
Parent=Transcript_C37A5.2.1,-1.9652,0.0014925
Parent=Transcript_C37A5.8.1,-2.7748,0.031984
Parent=Transcript_C37C3.11.1,-2.5976,0.0050671
Parent=Transcript_C37C3.8b.2,-3.747,0.025341
Parent=Transcript_C37E2.4.1,-3.2557,0.00016666
Parent=Transcript_C37H5.13a.1,1.4217,0.011477
Parent=Transcript_C37H5.2.1,1.6601,0.0016893
Parent=Transcript_C38C6.3.1,-4.3732,2.13E-10
Parent=Transcript_C38D9.7.1,4.2842,0.00017207
Parent=Transcript_C39B5.11.1,9.4478,7.75E-12
Parent=Transcript_C39B5.7.1,3.7991,1.75E-07
Parent=Transcript_C39B5.9.1,7.985,3.52E-36
Parent=Transcript_C39E6.2.1,-3.0179,0.0042367
Parent=Transcript_C39E9.3.1,-3.0917,2.65E-05
Parent=Transcript_C40A11.6.1,-3.3158,0.029544
Parent=Transcript_C40C9.3.1,-1.7369,0.015932
Parent=Transcript_C40D2.3.1,2.2913,0.00075956
Parent=Transcript_C40H1.2.1,-4.5463,7.02E-12
Parent=Transcript_C43C3.3.1,-2.1312,0.00019902
Parent=Transcript_C43D7.2.1,3.8469,2.30E-06
Parent=Transcript_C43D7.4.1,Inf,3.10E-55
Parent=Transcript_C43D7.5.1,10.327,4.23E-38
Parent=Transcript_C43D7.7.1,Inf,2.64E-23
Parent=Transcript_C43F9.7.1,-2.4641,0.0091084
Parent=Transcript_C44B11.3.1,-1.8139,0.0015267
Parent=Transcript_C44B11.4.1,-1.2648,0.044165
Parent=Transcript_C44B11.6.1,-1.6015,0.0087287
Parent=Transcript_C44B12.9.1,4.0159,0.0044672
Parent=Transcript_C44B7.8.1,-3.0652,4.05E-06
Parent=Transcript_C44E12.1.1,-4.2818,1.08E-15
Parent=Transcript_C44F1.1.1,2.13,0.0010378
Parent=Transcript_C44H4.3.1,-2.091,0.00024991
Parent=Transcript_C44H9.1.1,-2.0969,0.0052016
Parent=Transcript_C44H9.4.1,2.5326,0.048857
Parent=Transcript_C45B11.8.1,2.4144,8.13E-06
Parent=Transcript_C45B2.2.1,-1.9113,0.0009147
Parent=Transcript_C45B2.5.1,1.8855,0.00015019
Parent=Transcript_C45B2.7.1,-2.4687,2.21E-06
Parent=Transcript_C45E5.54,4.543,6.91E-11
Parent=Transcript_C45G7.3.1,-3.5122,0.030566
Parent=Transcript_C45G9.7.1,1.8121,0.00066852
Parent=Transcript_C46E10.5.1,-2.7992,0.0088299
Parent=Transcript_C46H11.2.1,-1.559,0.004851
Parent=Transcript_C46H11.4a.1,-1.6988,0.01996
Parent=Transcript_C46H11.9.1,-2.227,0.00015419
Parent=Transcript_C47B2.4.1,1.3519,0.015949
Parent=Transcript_C47D12.7a.1,-1.6974,0.0042861
Parent=Transcript_C47F8.7.1,-3.8363,0.018238
Parent=Transcript_C48B4.1.1,1.5628,0.0044895
Parent=Transcript_C48E7.10.1,-1.4502,0.013386
Parent=Transcript_C49C3.4a.1,-2.1148,6.84E-05
Parent=Transcript_C50B6.7.1,-4.3484,2.18E-17
Parent=Transcript_C50B8.4.1,1.704,0.001485
Parent=Transcript_C50B8.6.1,2.5137,3.32E-07
Parent=Transcript_C50D2.2.1,-1.7279,0.0060011
Parent=Transcript_C50F2.10.1,-1.8441,0.047707
Parent=Transcript_C50F2.9.1,2.5629,0.00021975
Parent=Transcript_C50F4.8.1,-1.491,0.0065268
Parent=Transcript_C50H11.15.1,-1.3799,0.032806
Parent=Transcript_C50H2.13.1,-4.2744,4.93E-13
Parent=Transcript_C51E3.6.1,-1.2864,0.030808
Parent=Transcript_C52B11.5.1,-1.457,0.010561
Parent=Transcript_C52E2.5.1,-3.6679,1.25E-11
Parent=Transcript_C53A5.13a.1,Inf,0.00028305
Parent=Transcript_C53A5.4.1,2.0752,0.00010374
Parent=Transcript_C53B7.4.1,-1.6734,0.0012614
Parent=Transcript_C53C11.2.1,-4.1612,9.79E-14
Parent=Transcript_C54C6.7.1,4.8714,4.00E-17
Parent=Transcript_C54C8.4.1,-5.2552,0.0046564
Parent=Transcript_C54D1.2.1,-2.5225,9.63E-06
Parent=Transcript_C54D10.14b.1,4.3127,0.00010722
Parent=Transcript_C54D10.7.1,Inf,1.38E-08
Parent=Transcript_C54D10.9.1,2.9533,0.00024922
Parent=Transcript_C54D2.2.1,-1.8668,0.0009587
Parent=Transcript_C54E4.5.1,3.0535,1.40E-07
Parent=Transcript_C54F6.18.1,-1.4389,0.0087288
Parent=Transcript_C54G4.4.1,-1.9622,0.0088033
Parent=Transcript_C55A6.5.1,3.1293,2.51E-10
Parent=Transcript_C55A6.6.1,2.1258,3.95E-05
Parent=Transcript_C55B6.1b.1,-3.4901,0.0025496
Parent=Transcript_C56A3.1.1,2.4034,0.0094431
Parent=Transcript_C56G2.4.1,-2.1924,0.03768
Parent=Transcript_CC4.2.1,-1.9159,0.010004
Parent=Transcript_D1005.1.1,1.2221,0.037013
Parent=Transcript_D1007.1.1,-2.4182,0.034229
Parent=Transcript_D1007.19.1,1.5944,0.014994
Parent=Transcript_D1007.3.1,-2.1424,0.0053459
Parent=Transcript_D1009.5.1,-3.3188,0.0086872
Parent=Transcript_D1014.5.1,-3.68,1.26E-09
Parent=Transcript_D1025.2.1,-2.2259,5.18E-05
Parent=Transcript_D1025.4.1,-4.3364,3.15E-17
Parent=Transcript_D1025.6.1,-5.9231,4.91E-13
Parent=Transcript_D1025.7.1,-5.9381,1.29E-24
Parent=Transcript_D1025.8.1,-5.7069,4.72E-11
Parent=Transcript_D1025.9.1,-4.1131,7.71E-15
Parent=Transcript_D1037.2.1,-3.2769,0.0074814
Parent=Transcript_D1053.1.1,-3.2761,3.04E-11
Parent=Transcript_D1053.3.1,-1.9284,0.0010798
Parent=Transcript_D1054.8.1,-1.5749,0.0069067
Parent=Transcript_D1086.5.1,-2.1484,1.16E-05
Parent=Transcript_D1086.7.1,-2.028,0.010967
Parent=Transcript_D1086.8a.1,-1.956,0.0040017
Parent=Transcript_D2005.2.1,-1.6125,0.0032188
Parent=Transcript_D2005.6.1,-2.3714,0.00087591
Parent=Transcript_D2024.2.1,-3.3793,5.51E-10
Parent=Transcript_D2024.7.1,-1.2958,0.030111
Parent=Transcript_D2062.12.1,-2.3036,1.97E-05
Parent=Transcript_D2085.7b,-2.0878,0.0096432
Parent=Transcript_D2092.4.1,-1.4847,0.0080467
Parent=Transcript_D2092.8.1,-3.2996,6.54E-06
Parent=Transcript_D2096.6.1,-3.1161,1.40E-08
Parent=Transcript_E01G6.2.1,-1.3151,0.039523
Parent=Transcript_E02H4.1.1,-2.0459,0.024691
Parent=Transcript_E02H9.5.1,-2.412,0.00075043
Parent=Transcript_E02H9.6.1,-2.9884,0.00019842
Parent=Transcript_E03D2.1.1,-1.5051,0.0065991
Parent=Transcript_E04F6.4.1,-2.4548,2.42E-06
Parent=Transcript_E04F6.7.1,-3.0672,1.18E-06
Parent=Transcript_E04F6.8.1,-1.3074,0.020129
Parent=Transcript_EEED8.2.1,-1.5243,0.011674
Parent=Transcript_EGAP1.3.1,1.457,0.012521
Parent=Transcript_EGAP5.1.1,-2.5039,0.011302
Parent=Transcript_EGAP7.1.1,-2.4111,0.0083186
Parent=Transcript_F01D4.2.1,-3.0888,1.02E-09
Parent=Transcript_F01D4.8.1,-3.7329,2.94E-06
Parent=Transcript_F01D5.1.1,-3.4827,4.22E-10
Parent=Transcript_F01D5.2.1,-3.4641,0.003463
