Gene_id,logFC,padj
Parent=Transcript_K02E7.11.1,-2.5488,0.0009587
Parent=Transcript_K02F2.5.1,-1.8201,0.0022235
Parent=Transcript_K02F3.9.1,-1.9626,8.98E-05
Parent=Transcript_K03A11.2.1,-2.459,5.53E-05
Parent=Transcript_K03D3.2.1,-3.0601,0.00091426
Parent=Transcript_K03D3.5.1,-3.5843,0.00010641
Parent=Transcript_K03E6.1b.1,-2.9821,5.06E-06
Parent=Transcript_K03E6.3.1,-1.7662,0.0016829
Parent=Transcript_K03E6.6.1,-1.2915,0.025341
Parent=Transcript_K03E6.7.1,-1.2718,0.031439
Parent=Transcript_K03H1.6.1,-1.4166,0.01223
Parent=Transcript_K04E7.2.1,-2.0044,9.20E-05
Parent=Transcript_K05F1.10.1,2.3412,0.00076926
Parent=Transcript_K05F1.14.1,-2.1844,0.039741
Parent=Transcript_K05F6.10.1,-3.7457,6.95E-07
Parent=Transcript_K05F6.7.1,-2.0032,0.023802
Parent=Transcript_K05G3.3.1,-1.3203,0.028916
Parent=Transcript_K06A4.15,-2.3382,0.036925
Parent=Transcript_K06A4.7.1,-1.8074,0.0003181
Parent=Transcript_K06A9.2.1,-1.2223,0.047512
Parent=Transcript_K06B9.6.1,-2.6488,4.02E-06
Parent=Transcript_K07A1.13.1,1.911,0.00025134
Parent=Transcript_K07A1.6.1,-1.3493,0.017779
Parent=Transcript_K07A1.7.1,2.1822,0.028293
Parent=Transcript_K07A12.6.1,2.4849,3.28E-06
Parent=Transcript_K07C10.3,-3.5632,4.15E-06
Parent=Transcript_K07C11.4.1,-2.7417,6.95E-08
Parent=Transcript_K07D4.3.1,1.2564,0.030079
Parent=Transcript_K07D4.8.1,-1.3922,0.016246
Parent=Transcript_K07E3.3.1,-1.5662,0.0036121
Parent=Transcript_K07G5.5.1,-5.2071,1.41E-21
Parent=Transcript_K08A8.1a.1,1.5433,0.0053691
Parent=Transcript_K08B4.6.1,-1.1317,0.047707
Parent=Transcript_K08C7.6.1,-1.5646,0.0081102
Parent=Transcript_K08C9.4.1,-2.6815,0.00085594
Parent=Transcript_K08D12.1.1,1.2475,0.032505
Parent=Transcript_K08D12.8.1,-3.2383,0.007843
Parent=Transcript_K08D8.11.1,2.5604,0.033593
Parent=Transcript_K08D8.5.1,-4.7465,1.60E-09
Parent=Transcript_K08D9.9.1,-2.5568,0.034137
Parent=Transcript_K08F4.4.1,-1.4851,0.012621
Parent=Transcript_K08F4.7.1,1.8121,0.0008894
Parent=Transcript_K08F8.7.1,-2.4064,0.0017491
Parent=Transcript_K08F9.1a.1,-4.4196,0.037878
Parent=Transcript_K08F9.3d.1,-4.0787,2.25E-07
Parent=Transcript_K08H2.1.1,-2.3617,9.86E-06
Parent=Transcript_K09A11.2.1,-2.2467,0.031801
Parent=Transcript_K09A11.3.1,-2.9926,0.0080057
Parent=Transcript_K09A9.4.1,1.5011,0.011782
Parent=Transcript_K09A9.5.1,-1.2577,0.029971
Parent=Transcript_K09C8.8.1,-3.9693,1.86E-06
Parent=Transcript_K09C8.9.1,-3.4663,0.003561
Parent=Transcript_K09E2.3.1,-1.5234,0.0043685
Parent=Transcript_K09E4.6.1,-2.29,4.35E-06
Parent=Transcript_K09F6.13.1,3.7002,1.39E-08
Parent=Transcript_K09F6.7.1,2.8519,6.46E-09
Parent=Transcript_K10C2.14.1,-2.8635,4.85E-06
Parent=Transcript_K10C2.8.1,-4.4392,1.40E-09
Parent=Transcript_K10D11.2.1,-2.881,0.014613
Parent=Transcript_K10D11.5.1,-2.2896,3.97E-05
Parent=Transcript_K10D11.6.1,-3.158,2.11E-07
Parent=Transcript_K10D3.6.1,-3.2862,1.97E-10
Parent=Transcript_K11D12.13.1,-2.7032,1.24E-07
Parent=Transcript_K11D12.9.1,1.3411,0.019487
Parent=Transcript_K11G9.1.1,-2.9025,8.91E-05
Parent=Transcript_K11G9.4.1,-2.0105,0.00043693
Parent=Transcript_K11G9.6.1,-3.4833,4.81E-13
Parent=Transcript_K11H12.3.1,1.7337,0.0019191
Parent=Transcript_K11H12.4.1,1.3174,0.024697
Parent=Transcript_K11H12.5.1,-1.6977,0.017109
Parent=Transcript_K11H12.7.1,-1.3643,0.022033
Parent=Transcript_K12B6.11.1,-4.3243,3.90E-09
Parent=Transcript_K12B6.3.1,-3.6675,2.69E-07
Parent=Transcript_K12B6.5.1,-4.4144,0.0018838
Parent=Transcript_K12B6.9.1,-3.8062,3.45E-12
Parent=Transcript_K12D12.3.1,2.8807,0.00018969
Parent=Transcript_K12G11.2.1,-1.8462,0.0033096
Parent=Transcript_K12H4.1.1,-1.3444,0.042719
Parent=Transcript_K12H6.4.1,-4.4493,0.00068752
Parent=Transcript_M01D7.5.1,-1.9803,9.70E-05
Parent=Transcript_M01G12.12.1,1.7158,0.0011219
Parent=Transcript_M01G12.7.1,9.5542,4.88E-30
Parent=Transcript_M02D8.1.1,-2.4863,3.01E-07
Parent=Transcript_M02D8.6.1,-1.9413,0.00012872
Parent=Transcript_M02E1.2.1,-1.5622,0.0082236
Parent=Transcript_M02E1.4.1,-4.0991,0.00012974
Parent=Transcript_M02H5.1.1,-4.7892,4.96E-18
Parent=Transcript_M02H5.4a.1,-1.8917,0.021053
Parent=Transcript_M03B6.3.1,-1.9782,0.030294
Parent=Transcript_M03C11.1.1,-1.6339,0.012896
Parent=Transcript_M04B2.6.1,-1.7105,0.0025707
Parent=Transcript_M04C9.2.1,-2.4399,0.024297
Parent=Transcript_M04D8.2.1,-3.5514,3.75E-10
Parent=Transcript_M04D8.3.1,-5.4782,1.33E-19
Parent=Transcript_M04D8.7.1,-1.8985,0.0014874
Parent=Transcript_M04G12.2.1,-3.282,1.41E-11
Parent=Transcript_M05B5.4.1,-1.7382,0.00077158
Parent=Transcript_M05B5.6.1,1.9285,0.00019917
Parent=Transcript_M05D6.9.1,2.2083,0.0001362
Parent=Transcript_M110.3.1,2.0112,7.65E-05
Parent=Transcript_M151.7.1,1.4976,0.010062
Parent=Transcript_M153.4.1,-2.7128,8.93E-05
Parent=Transcript_M162.5.1,-1.6703,0.0026498
Parent=Transcript_M163.1.1,-2.5377,2.56E-07
Parent=Transcript_M163.3.1,-2.1804,0.034499
Parent=Transcript_M176.4.1,#NAME?,0.0017265
Parent=Transcript_M176.5.1,-1.5385,0.034571
Parent=Transcript_M18.7b,1.3395,0.034243
Parent=Transcript_M28.2.1,3.7613,0.00051199
Parent=Transcript_M28.8.1,2.5496,2.38E-07
Parent=Transcript_M6.1a.1,-2.3385,1.26E-05
Parent=Transcript_M7.8.1,-1.3872,0.021348
Parent=Transcript_MTCE.7,-1.2922,0.02436
Parent=Transcript_R02E12.2b.1,-1.2612,0.038666
Parent=Transcript_R02F11.1.1,-3.8048,1.76E-07
Parent=Transcript_R02F2.8.1,-2.1101,0.017729
Parent=Transcript_R03D7.6b.1,5.5239,1.88E-05
Parent=Transcript_R03E9.1.1,-1.4743,0.015932
Parent=Transcript_R03H10.6.1,3.1253,0.00018394
Parent=Transcript_R03H10.7.1,3.3843,2.64E-05
Parent=Transcript_R03H4.1.1,#NAME?,0.033948
Parent=Transcript_R04A9.6.1,-1.5842,0.047512
Parent=Transcript_R04B5.5.1,-1.7625,0.0027329
Parent=Transcript_R04E5.2.1,-2.0425,8.10E-05
Parent=Transcript_R05A10.2.1,-1.3482,0.02977
Parent=Transcript_R05A10.3.1,-1.7084,0.044294
Parent=Transcript_R05D11.1.1,1.6916,0.0010569
Parent=Transcript_R05D7.7.1,-1.4119,0.022984
Parent=Transcript_R05D8.10.1,-4.1673,0.0016205
Parent=Transcript_R05D8.7.1,2.6137,5.88E-06
Parent=Transcript_R05H10.7.1,-3.5143,0.04272
Parent=Transcript_R05H5.8,-2.6847,5.87E-07
Parent=Transcript_R06A10.2a.1,-2.3571,0.004399
Parent=Transcript_R06B10.3.1,-1.9072,0.00024845
Parent=Transcript_R06F6.11.1,-1.851,0.00039609
Parent=Transcript_R07B1.1.1,-2.3166,0.003795
Parent=Transcript_R07B1.3.1,-2.9183,4.24E-05
Parent=Transcript_R07B7.5.1,-1.5951,0.0032566
Parent=Transcript_R07C12.1.1,-3.4091,4.34E-08
Parent=Transcript_R07E3.6.1,-2.8618,3.31E-07
Parent=Transcript_R08E5.3.1,-2.5357,3.00E-06
Parent=Transcript_R09A1.3.1,5.3149,2.30E-24
Parent=Transcript_R09A1.5a.1,5.4374,4.13E-18
Parent=Transcript_R09B3.4.1,1.1873,0.047145
Parent=Transcript_R09B5.13.1,-3.0005,3.29E-07
Parent=Transcript_R09B5.2.1,-4.3676,0.0088228
Parent=Transcript_R09B5.6.1,-1.7433,0.0034834
Parent=Transcript_R09B5.8.1,-1.5686,0.024712
Parent=Transcript_R09D1.14.1,4.116,0.022033
Parent=Transcript_R09D1.2.1,-5.1548,3.81E-08
Parent=Transcript_R09D1.7.1,3.6891,3.66E-10
Parent=Transcript_R09E10.13.1,-2.6246,0.031439
Parent=Transcript_R09E12.3.1,1.2506,0.031305
Parent=Transcript_R09F10.1.1,-4.9888,1.06E-21
Parent=Transcript_R09F10.8.1,1.291,0.022383
Parent=Transcript_R09G11.1.1,-2.0816,0.0038018
Parent=Transcript_R102.2.1,-2.2377,8.00E-06
Parent=Transcript_R10D12.1.1,-1.9723,0.00071468
Parent=Transcript_R10E8.10,-4.1752,0.00090418
Parent=Transcript_R10H1.1.1,-4.2655,0.015039
Parent=Transcript_R10H10.3.1,-2.5999,9.16E-08
Parent=Transcript_R11A8.3.1,3.388,3.85E-11
Parent=Transcript_R11D1.3.1,-3.7035,3.42E-12
Parent=Transcript_R11E3.2.1,1.8648,0.0032964
Parent=Transcript_R11F4.3.1,-1.5311,0.032252
Parent=Transcript_R11G11.14.1,-6.4827,1.55E-29
Parent=Transcript_R11G11.7.1,-1.5827,0.034588
Parent=Transcript_R12A1.4.1,-4.4614,1.79E-17
Parent=Transcript_R12C12.10.1,-2.8122,0.0012231
Parent=Transcript_R12E2.14.1,-3.6894,4.31E-13
Parent=Transcript_R12H7.3.1,-2.2387,3.75E-05
Parent=Transcript_R13A1.5.1,-2.0903,0.013386
Parent=Transcript_R13A5.3.1,-1.9811,0.00011225
Parent=Transcript_R13A5.7.1,1.5391,0.0040992
Parent=Transcript_R13H4.8.1,-2.6782,0.00069374
Parent=Transcript_R148.6.1,-2.0114,4.69E-05
Parent=Transcript_R153.1a.1,-2.4631,0.036765
Parent=Transcript_R160.3.1,-2.0002,0.0020891
Parent=Transcript_R173.4.1,-1.478,0.011849
Parent=Transcript_R52.1.1,-1.8793,0.0077938
Parent=Transcript_R53.8.1,-5.4856,0.0016462
Parent=Transcript_R74.10.1,1.346,0.022663
Parent=Transcript_R90.2.1,-2.085,4.59E-05
Parent=Transcript_T01B7.8.1,-2.8033,0.0024795
Parent=Transcript_T01C3.4.1,-5.0358,4.35E-10
Parent=Transcript_T01D3.5.1,-5.2585,0.005452
Parent=Transcript_T01E8.8.1,1.3604,0.019973
Parent=Transcript_T01G5.1.1,-2.3437,0.0025234
Parent=Transcript_T01G5.2.1,-4.6379,3.83E-14
Parent=Transcript_T01G6.4.1,-1.5627,0.01996
Parent=Transcript_T02C12.5.1,-1.3996,0.025259
Parent=Transcript_T02E9.3.1,-1.7071,0.0134
Parent=Transcript_T02E9.5.2,-2.0749,0.00049071
Parent=Transcript_T03D3.1.1,-3.759,1.13E-08
Parent=Transcript_T03D8.3.1,-1.7367,0.00077158
Parent=Transcript_T03F6.3.1,1.4863,0.0069879
Parent=Transcript_T03G6.3.1,-1.5339,0.004285
Parent=Transcript_T04A6.1a.1,-1.6788,0.018116
Parent=Transcript_T04A6.2.1,-2.2759,0.015288
Parent=Transcript_T04A8.16.1,1.2208,0.040554
Parent=Transcript_T04A8.5.1,-1.9637,0.0011401
Parent=Transcript_T04F3.2.1,-2.5698,9.41E-06
Parent=Transcript_T04F8.4.1,-2.1704,0.009997
Parent=Transcript_T04G9.7.1,-1.3323,0.013823
Parent=Transcript_T05A7.2.1,5.2962,3.23E-07
Parent=Transcript_T05A7.3.1,4.4224,0.00028739
Parent=Transcript_T05A8.3.1,-2.1101,0.0016173
Parent=Transcript_T05B4.10.1,#NAME?,0.0011401
Parent=Transcript_T05B4.3.1,-3.005,0.0001148
Parent=Transcript_T05B4.9.1,#NAME?,0.0035074
Parent=Transcript_T05C1.3.1,-3.2434,0.00014514
Parent=Transcript_T05E11.8.1,-1.645,0.019964
Parent=Transcript_T05E12.3.1,-9.8918,1.63E-42
Parent=Transcript_T05E7.1.1,-3.0787,8.02E-06
Parent=Transcript_T05F1.9.1,3.3451,1.51E-10
Parent=Transcript_T05G5.12.1,-2.0274,7.39E-05
Parent=Transcript_T05H10.3.1,-3.81,1.63E-14
Parent=Transcript_T06A1.5.1,-3.2779,3.42E-11
Parent=Transcript_T06C10.4.1,-2.0356,3.69E-05
Parent=Transcript_T06D8.3.1,-1.7069,0.0058727
Parent=Transcript_T06E4.8.1,-3.208,0.019267
Parent=Transcript_T06E6.10.1,-2.3046,5.74E-06
Parent=Transcript_T07C12.7.1,-3.1476,1.27E-10
Parent=Transcript_T07F12.4.1,-1.6383,0.0087252
Parent=Transcript_T07G12.5a.1,-5.1349,5.79E-13
Parent=Transcript_T07H3.1.1,-4.2634,3.10E-15
Parent=Transcript_T07H8.5.1,8.4916,4.18E-42
Parent=Transcript_T08A9.12.1,-4.9329,6.87E-22
Parent=Transcript_T08A9.2.1,-1.9262,0.00021518
Parent=Transcript_T08A9.3.1,-2.1127,0.00024845
Parent=Transcript_T08A9.7.1,-4.5257,1.07E-19
Parent=Transcript_T08B1.3.1,-2.9259,1.28E-05
Parent=Transcript_T08B1.6.1,-2.4712,4.31E-07
Parent=Transcript_T08E11.1.1,4.4279,3.34E-18
Parent=Transcript_T08E11.8.1,2.4392,3.19E-06
Parent=Transcript_T08G5.12.1,1.6146,0.01223
Parent=Transcript_T08H10.1.1,-3.357,6.53E-12
Parent=Transcript_T09E11.7.1,#NAME?,0.0015887
Parent=Transcript_T09F5.9.1,-1.7595,0.00061067
Parent=Transcript_T09H2.1.1,-1.3986,0.012048
Parent=Transcript_T10B10.2.1,-1.4298,0.0096432
Parent=Transcript_T10B11.5.1,-1.2532,0.047981
Parent=Transcript_T10B5.8.1,-2.4335,0.020114
Parent=Transcript_T10B9.5.1,-1.7718,0.048733
Parent=Transcript_T10D4.13.1,Inf,2.27E-05
Parent=Transcript_T10D4.15.1,-4.5742,1.91E-05
Parent=Transcript_T10D4.3.1,2.4641,5.04E-07
Parent=Transcript_T10E10.1.1,-2.6424,0.0032274
Parent=Transcript_T10E10.4.1,-3.6247,0.011209
Parent=Transcript_T10E10.5.1,-3.0669,0.0042594
Parent=Transcript_T10E9.14.1,1.8579,0.018059
Parent=Transcript_T10G3.1.1,-1.8654,0.013017
Parent=Transcript_T10H10.1.1,-1.4033,0.01696
Parent=Transcript_T10H10.2.1,-1.888,0.0012317
Parent=Transcript_T10H4.4.1,3.8478,1.22E-05
Parent=Transcript_T10H9.8.1,-1.356,0.02687
Parent=Transcript_T11B7.1.1,1.5209,0.0091084
Parent=Transcript_T12A7.5.1,-1.4372,0.019082
Parent=Transcript_T12B3.3.1,-2.9076,2.51E-09
Parent=Transcript_T12B5.1.1,1.9412,0.00039193
Parent=Transcript_T12B5.10.1,-1.2473,0.03242
Parent=Transcript_T12B5.11.1,1.2927,0.028101
Parent=Transcript_T12B5.15.1,-2.6196,1.45E-07
Parent=Transcript_T12B5.2.1,1.4159,0.011212
Parent=Transcript_T12B5.4.1,2.8577,1.41E-08
Parent=Transcript_T12C9.1.1,-2.0095,0.0076368
Parent=Transcript_T14B4.6.1,-2.2001,0.0003086
Parent=Transcript_T14G12.3.1,-2.3726,1.34E-06
Parent=Transcript_T15D6.12.1,-4.4975,1.94E-08
Parent=Transcript_T15D6.8.1,#NAME?,0.0008971
Parent=Transcript_T16A1.7.1,6.3613,8.30E-11
Parent=Transcript_T16G1.18.1,-2.5612,0.015288
Parent=Transcript_T16G1.7.1,-1.3998,0.03356
Parent=Transcript_T16G12.1.1,-4.768,0.00022679
Parent=Transcript_T17A3.10.1,4.6358,6.27E-08
Parent=Transcript_T19B10.1.1,-1.9149,0.00033273
Parent=Transcript_T19B10.9.1,-1.8161,0.023285
Parent=Transcript_T19C3.2.1,-3.0642,8.39E-08
Parent=Transcript_T19C3.3.1,-1.582,0.04309
Parent=Transcript_T19C4.1.1,-2.8274,2.64E-07
Parent=Transcript_T19C4.7.1,-2.588,0.00019787
Parent=Transcript_T19C9.5.1,3.0264,0.016087
Parent=Transcript_T19D12.5.1,2.2873,0.00024922
Parent=Transcript_T19E7.1.1,-1.4897,0.026641
Parent=Transcript_T19E7.3a.1,1.6408,0.0022235
Parent=Transcript_T19H5.3.1,3.8305,1.01E-06
Parent=Transcript_T19H5.7.1,3.8026,0.00094409
Parent=Transcript_T20B3.1.1,-2.493,3.50E-07
Parent=Transcript_T20B3.15.1,-4.338,1.95E-05
Parent=Transcript_T20B5.2.1,-1.6154,0.018178
Parent=Transcript_T20B6.3.1,-2.8616,0.00011814
Parent=Transcript_T20D3.2.1,-3.2214,2.85E-11
Parent=Transcript_T20D4.11.1,-2.284,2.94E-06
Parent=Transcript_T20F7.3.1,-1.4956,0.046211
Parent=Transcript_T20G5.7.1,-3.0911,1.40E-05
Parent=Transcript_T20G5.8.1,-1.942,0.00042638
Parent=Transcript_T20H9.2.1,6.7914,3.98E-12
Parent=Transcript_T21B4.21,-2.7079,0.010777
Parent=Transcript_T21C12.2.1,-2.7407,1.26E-08
Parent=Transcript_T22B7.22.1,-3.1843,3.95E-05
Parent=Transcript_T22C8.5.1,-1.7652,0.011366
Parent=Transcript_T22D1.11.1,-3.0028,2.64E-07
Parent=Transcript_T22D1.9.1,1.2493,0.032996
Parent=Transcript_T22F3.8.1,-2.1397,0.0016173
Parent=Transcript_T23B3.6.1,-1.7821,0.0033331
Parent=Transcript_T23C6.3.1,1.5576,0.0039916
Parent=Transcript_T23E7.6.1,-2.4593,0.00036435
Parent=Transcript_T23F1.6.1,-2.0469,0.035555
Parent=Transcript_T23F4.3.1,-4.9096,1.42E-10
Parent=Transcript_T23G5.5.1,-1.6977,0.0337
Parent=Transcript_T23H2.2.1,-1.5329,0.0056579
Parent=Transcript_T24A6.20.1,-1.5769,0.010751
Parent=Transcript_T24A6.7.1,1.7439,0.043618
Parent=Transcript_T24C12.2.1,-1.347,0.040117
Parent=Transcript_T24C12.3.1,-1.6849,0.0013463
Parent=Transcript_T24C12.4.1,-2.6525,0.015909
Parent=Transcript_T24C2.2.1,2.3039,3.41E-05
Parent=Transcript_T24E12.5.1,5.4617,2.20E-13
Parent=Transcript_T24F1.7.1,-4.9413,3.69E-08
Parent=Transcript_T25B6.6.1,-4.0346,0.014292
Parent=Transcript_T25B9.12.1,-2.5937,0.00083687
Parent=Transcript_T25C12.11,-1.537,0.01728
Parent=Transcript_T25C12.12,-2.003,0.0049775
Parent=Transcript_T25C12.3.1,-3.6587,0.0039916
Parent=Transcript_T25D10.1.1,-1.6151,0.02371
Parent=Transcript_T25E12.12.1,#NAME?,1.14E-06
Parent=Transcript_T25E4.1.1,-2.7559,1.22E-06
Parent=Transcript_T25F10.5.1,-1.7265,0.029339
Parent=Transcript_T26C5.1.1,-1.7913,0.00057872
Parent=Transcript_T26C5.6,-4.1473,0.0035506
Parent=Transcript_T26G10.5.1,-2.2585,0.00054268
Parent=Transcript_T26H5.10.1,-2.2124,0.00019046
Parent=Transcript_T26H5.4a.1,-4.2852,1.44E-07
Parent=Transcript_T27A1.2c,-1.6524,0.031349
Parent=Transcript_T27A3.2.1,1.4694,0.0061933
Parent=Transcript_T27B7.3.1,1.4196,0.026388
Parent=Transcript_T27E4.4.1,-1.5724,0.0038748
Parent=Transcript_T27E4.7.1,-2.5153,4.90E-07
Parent=Transcript_T27E4.9.1,2.3084,0.015932
Parent=Transcript_T27E7.6.1,11.299,1.97E-52
Parent=Transcript_T27E7.71,Inf,0.0021508
Parent=Transcript_T27E7.9.1,Inf,0.010396
Parent=Transcript_T27F2.4.1,3.2052,4.74E-11
Parent=Transcript_T27F6.4.1,1.2695,0.030252
Parent=Transcript_T28A11.11.1,-2.5988,0.0009758
Parent=Transcript_T28A11.13.1,6.0869,0.00020076
Parent=Transcript_T28A11.16.1,-2.4826,1.23E-06
Parent=Transcript_T28A11.19.1,-3.6622,2.04E-13
Parent=Transcript_T28A11.3.1,-3.0179,6.14E-05
Parent=Transcript_T28A11.4.1,-3.1832,1.30E-05
Parent=Transcript_T28B4.3.1,-1.7249,0.033948
Parent=Transcript_T28C6.4.1,-2.6475,2.98E-06
Parent=Transcript_T28C6.6.1,-3.38,1.22E-07
Parent=Transcript_T28D6.2.1,1.7116,0.001119
Parent=Transcript_T28F2.6.1,-2.6042,0.022765
Parent=Transcript_T28F3.6.1,-2.0237,0.017995
Parent=Transcript_T28F3.9.1,-2.5948,0.0051604
Parent=Transcript_T28F4.1.1,3.1363,4.66E-08
Parent=Transcript_T28H10.3.1,-1.6245,0.0016729
Parent=Transcript_VC5.3a.1,-1.7399,0.0011994
Parent=Transcript_W01B11.6.1,-2.4816,0.0032791
Parent=Transcript_W01B6.1.1,1.5825,0.0043411
Parent=Transcript_W01D2.6.1,-4.9194,0.02687
Parent=Transcript_W01F3.2.1,-1.5809,0.0021099
Parent=Transcript_W02A2.3a.1,-2.6182,0.017454
Parent=Transcript_W02B8.3.1,-4.9764,0.0028439
Parent=Transcript_W02D3.5.1,-1.9884,9.50E-05
Parent=Transcript_W02D3.7.1,-2.0275,6.75E-05
Parent=Transcript_W02D7.11.1,-3.7487,5.32E-09
Parent=Transcript_W02D9.5.1,-1.7432,0.0052357
Parent=Transcript_W02D9.6.1,-3.1441,0.0030009
Parent=Transcript_W02D9.7.1,-3.6947,9.03E-08
Parent=Transcript_W03D8.3.1,1.7912,0.0010102
Parent=Transcript_W04B5.2.1,-2.0033,0.0002401
Parent=Transcript_W04E12.6.1,-4.4137,4.13E-15
Parent=Transcript_W04E12.8.1,-4.0107,7.84E-16
Parent=Transcript_W04G3.2.1,-3.157,0.0013305
Parent=Transcript_W04G3.8.1,-2.7213,0.00016394
Parent=Transcript_W04G5.16.1,4.3716,4.37E-05
Parent=Transcript_W04G5.7.1,Inf,0.002517
Parent=Transcript_W05E10.1.1,-2.3772,2.64E-05
Parent=Transcript_W05E10.3.1,-1.5462,0.0097037
Parent=Transcript_W05G11.8,-2.3249,0.00012976
Parent=Transcript_W05H9.5,-2.4,0.0012926
Parent=Transcript_W06B11.3.1,-2.3588,1.84E-06
Parent=Transcript_W06D12.3.1,2.6124,1.22E-07
Parent=Transcript_W06G6.10.1,-3.7269,0.0013232
Parent=Transcript_W06G6.17.1,-5.7441,0.00044272
Parent=Transcript_W06H8.2.1,3.1737,3.66E-10
Parent=Transcript_W07A12.6.1,-3.6038,0.035652
Parent=Transcript_W07B8.1a.1,-1.7216,0.041388
Parent=Transcript_W07B8.5.1,-3.4119,7.02E-12
Parent=Transcript_W07E11.2.1,-1.4629,0.010731
Parent=Transcript_W07G1.25,5.0136,7.31E-22
Parent=Transcript_W08A12.4.1,4.1787,2.19E-09
Parent=Transcript_W08E12.4.1,-2.9228,0.0071165
Parent=Transcript_W08F4.3.1,1.2443,0.03118
Parent=Transcript_W09G12.10.1,-1.7605,0.044024
Parent=Transcript_W10C8.6.1,-1.6559,0.0040992
Parent=Transcript_W10G11.1.1,-2.8772,1.39E-05
Parent=Transcript_W10G11.19.1,-1.9102,0.00028334
Parent=Transcript_W10G11.3.1,-1.8391,0.0036551
Parent=Transcript_W10G11.4.1,-3.2917,0.00015007
Parent=Transcript_W10G6.3.1,-1.7219,0.0012505
Parent=Transcript_Y102A11A.1.1,-3.0533,0.038258
Parent=Transcript_Y102A11A.5.1,-4.9488,6.48E-15
Parent=Transcript_Y102A11A.7.1,-2.4255,0.00035179
Parent=Transcript_Y102A5C.19.1,1.746,0.0010798
Parent=Transcript_Y105C5A.1098,Inf,0.010685
Parent=Transcript_Y105C5A.1269.1,13.988,4.64E-62
Parent=Transcript_Y105C5A.1270.1,10.726,8.70E-44
Parent=Transcript_Y105C5B.14.1,2.4211,0.033399
Parent=Transcript_Y105C5B.20.1,1.3544,0.029922
Parent=Transcript_Y105C5B.29.1,-2.387,0.012664
Parent=Transcript_Y105C5B.9.1,-1.8477,0.0012724
Parent=Transcript_Y106G6A.5a.1,3.4766,6.37E-07
Parent=Transcript_Y106G6H.1.1,-1.4923,0.010595
Parent=Transcript_Y110A2AL.3.1,-2.4185,0.010731
Parent=Transcript_Y110A2AL.7.1,-3.9985,0.0030858
Parent=Transcript_Y113G7A.15a.1,-3.6556,0.035843
Parent=Transcript_Y113G7B.11.1,1.7037,0.014994
Parent=Transcript_Y113G7B.2.1,5.2668,4.22E-15
Parent=Transcript_Y113G7B.3.1,3.5772,4.04E-13
Parent=Transcript_Y116A8C.37.1,2.2637,0.028433
Parent=Transcript_Y119D3A.1.1,11.317,5.24E-60
Parent=Transcript_Y119D3A.2.1,6.1164,1.76E-08
Parent=Transcript_Y119D3B.13.1,-3.3912,6.77E-09
Parent=Transcript_Y119D3B.17.1,-1.9123,0.0044325
Parent=Transcript_Y119D3B.18.1,-3.2267,5.68E-05
Parent=Transcript_Y119D3B.19.1,-4.8302,0.039858
Parent=Transcript_Y119D3B.8.1,2.8,0.0001112
Parent=Transcript_Y119D3B.9.1,-2.7095,4.77E-07
Parent=Transcript_Y11D7A.4.1,-1.9405,0.0041937
Parent=Transcript_Y11D7A.5.1,-3.4613,2.97E-06
Parent=Transcript_Y11D7A.9.1,-1.7833,0.0029715
Parent=Transcript_Y12A6A.1.1,-1.7229,0.0027679
Parent=Transcript_Y12A6A.2.1,-1.5858,0.011258
Parent=Transcript_Y16E11A.3,-1.9596,0.0017103
Parent=Transcript_Y17D7C.9,-2.6586,0.0020246
Parent=Transcript_Y17G7B.25,-2.986,0.012197
Parent=Transcript_Y18D10A.22.1,-2.3964,0.0043957
Parent=Transcript_Y19D10B.6.1,-1.248,0.044753
Parent=Transcript_Y19D10B.7.1,-4.4766,1.41E-13
Parent=Transcript_Y22D7AR.10.1,-1.6497,0.0017858
Parent=Transcript_Y22F5A.5.1,-2.7841,3.62E-08
Parent=Transcript_Y22F5A.6.1,4.0571,7.53E-09
Parent=Transcript_Y23B4A.2.1,-3.148,2.49E-05
Parent=Transcript_Y23H5B.8.1,-2.3107,8.91E-05
Parent=Transcript_Y32B12C.3.1,3.2522,0.0036183
Parent=Transcript_Y32B12C.4,#NAME?,0.00026464
Parent=Transcript_Y32F6A.4.1,-3.2467,1.86E-05
Parent=Transcript_Y32F6B.1.1,-3.1642,1.89E-08
Parent=Transcript_Y32H12A.3.1,1.6449,0.0014575
Parent=Transcript_Y34B4A.9.1,-1.5279,0.0027334
Parent=Transcript_Y34D9A.6.1,1.296,0.027272
Parent=Transcript_Y34F4.1b.1,-3.0392,1.59E-07
Parent=Transcript_Y36E3A.2.1,2.7816,1.30E-07
Parent=Transcript_Y37A1B.7.1,-4.0112,3.73E-13
Parent=Transcript_Y37D8A.19.1,-1.5084,0.0063665
Parent=Transcript_Y37D8A.22.1,2.0102,0.00019444
Parent=Transcript_Y37D8A.6.1,1.2803,0.030808
Parent=Transcript_Y37E11AR.2.1,-1.5497,0.005452
Parent=Transcript_Y37E11AR.6a.1,1.6523,0.021106
Parent=Transcript_Y37F4.15,-4.389,1.94E-07
Parent=Transcript_Y38A10A.1.1,3.8866,0.00056767
Parent=Transcript_Y38A8.2.1,1.3212,0.021399
Parent=Transcript_Y38C1AA.19_wp239,5.3819,0.0006201
Parent=Transcript_Y38E10A.25.1,-4.8947,0.0018146
